"Reference","Value","Footprint","Datasheet","Qty","DNP","#","Sim.Device","Sim.Pins","Description"
"J18","SpeedHeader","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","80","","","Generic connector, single row, 01x02, script generated"
"SW10","SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile","~","1","","81","","","4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"SW1","SW_Power","TRS80IJP:472131020421","","1","","82","","",""
"SW2","SW_Reset","Button_Switch_THT:SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6","~","1","","83","","","Switch, single pole double throw"
"Z9,Z10","uPD2114LC","Package_DIP:DIP-18_W7.62mm_Socket","~","2","","84","","",""
"CN3","US KEYBOARD","TRS80:Keyboard JP","~","1","","85","","","Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","VIDEO","TRS80:J2 - VIDEO OUT","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","1","","86","","",""
"J12","VIDEO","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~","1","","87","","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)"
"Z48","Z84C00-CPU","Package_DIP:DIP-40_W15.24mm_Socket","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080","1","","88","","",""
"P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12","~","TRS80IJP:Prototype_Area","","12","","89","","",""
